Index,Link,Price,Condition,Year,Papers,Box,Brand,Model,Reference,Movement,Dimensions,Gender,SKU,Case,Bracelet,Crystal,Dial Color,Features,Missed Prices,Condition Category
0,https://www.chronext.com/breitling/navitimer/m13314101b1x1/C77851,5850,New and unworn. An inspection by our certified watchmakers guarantees authenticity.,2021.0,Original papers,Original box,Breitling,Navitimer 8 Chronograph 43,M13314101B1X1,Automatic,43mm,Male,C77851,Stainless Steel,Calf Leather,Sapphire,Black,"['Day Date', 'Luminescent Hands', 'Luminescent Indexes', 'Rotating Bezel', 'Screw Down Crown', 'Minute', 'Hour', 'Chronograph']",,Unworn - New
1,https://www.chronext.com/cartier/panthere/wspn0019/V18765,3630,New and unworn. An inspection by our certified watchmakers guarantees authenticity.,2020.0,Original papers,Original box,Cartier,Panthère,WSPN0019,Quartz,25mm,Female,V18765,Stainless Steel,Stainless Steel,Sapphire,Silver,"['Screw Down Crown', 'Minute', 'Hour']",,Unworn - New
2,https://www.chronext.com/tudor/black-bay/79030b/V25845,4610,New and unworn. An inspection by our certified watchmakers guarantees authenticity.,2020.0,Original papers,Original box,Tudor,Black Bay Fifty-Eight,79030B,Manual Wind,39mm,Male,V25845,Stainless Steel,Stainless Steel,Sapphire,Blue,"['Luminescent Hands', 'Luminescent Indexes', 'Rotating Bezel', 'Screw Down Crown', 'Water Resistant', 'Minute', 'Hour', 'Chronometer']",,Unworn - New
3,https://www.chronext.com/rolex/oyster-perpetual/124200/V27640,9460,New and unworn. An inspection by our certified watchmakers guarantees authenticity.,2020.0,Original papers,Original box,Rolex,Oyster Perpetual 34,124200,Automatic,34mm,Unisex,V27640,Stainless Steel,Stainless Steel,Sapphire,Blue,"['Screw Down Crown', 'Water Resistant', 'Minute', 'Hour', 'Central Second', 'Chronometer']",,Unworn - New
4,https://www.chronext.com/panerai/radiomir/pam00292/V33430,7460,"Previously worn, minor to no signs of usage. The movement is flawless and the case has been cleaned. The watch has been tested to ensure full functionality. An inspection by our certified watchmakers guarantees its authenticity.",2013.0,Original papers,Original box,Panerai,Radiomir Black Seal Ceramica,PAM00292,Manual Wind,45mm,Male,V33430,Ceramic,Calf Leather,Sapphire,Black,"['Luminescent Hands', 'Luminescent Indexes', 'Screw Down Crown', 'Small Second', 'Minute', 'Hour']",,Like New
5,https://www.chronext.com/omega/seamaster/220-10-41-21-10-001/V29575,4910,New and unworn. An inspection by our certified watchmakers guarantees authenticity.,2021.0,Original papers,Original box,Omega,Seamaster Aqua Terra 150 M,220.10.41.21.10.001,Automatic,41mm,Male,V29575,Stainless Steel,Stainless Steel,Sapphire,Green,"['Date', 'Luminescent Hands', 'Luminescent Indexes', 'Screw Down Crown', 'Minute', 'Hour', 'Central Second', 'Chronometer', 'Co-Axial']",,Unworn - New
6,https://www.chronext.com/rolex/explorer/114270/V32620,11010,"Pre-owned watch in original condition. Has been inspected, regulated and authenticated by certified CHRONEXT watchmakers.",2003.0,Original papers,Original box,Rolex,Explorer I,114270,Automatic,36mm,Unisex,V32620,Stainless Steel,Stainless Steel,Sapphire,Black,"['Luminescent Hands', 'Luminescent Indexes', 'Screw Down Crown', 'Minute', 'Hour', 'Central Second', 'Chronometer']",,Good
7,https://www.chronext.com/rolex/gmt-master/1675/V30075,17430,Older than 20 years and may have visible signs of usage and ageing. The movement is flawless and may have previously been polished. An inspection by our certified watchmakers guarantees its authenticity. Please note that vintage watches are not guaranteed to be water resistant.,1978.0,CHRONEXT Certificate,CHRONEXT box,Rolex,GMT-Master,1675,Automatic,40mm,Male,V30075,Stainless Steel Yellow Gold,Stainless Steel Yellow Gold,Sapphire,Black,"['Date', 'Second Timezone', 'Rotating Bezel', 'Screw Down Crown', 'Minute', 'Hour', 'Central Second']","USD 17,430",Vintage
8,https://www.chronext.com/rolex/gmt-master/126710blnr/V31812,26900,New and unworn. An inspection by our certified watchmakers guarantees authenticity.,2021.0,Original papers,Original box,Rolex,GMT-Master II,126710BLNR,Automatic,40mm,Male,V31812,Stainless Steel,Stainless Steel,Sapphire,Black,"['Date', 'Second Timezone', 'Luminescent Hands', 'Luminescent Indexes', 'Minute', 'Hour']",,Unworn - New
9,https://www.chronext.com/iwc/ingenieur/iw386503/V31256,11080,"Previously worn, minor to no signs of usage. The movement is flawless and the case has been cleaned. The watch has been tested to ensure full functionality. An inspection by our certified watchmakers guarantees its authenticity.",2016.0,Original papers,Original box,IWC,Ingenieur,IW386503,Automatic,45mm,Male,V31256,Titanium,Rubber,Sapphire,Black,"['Day Date', 'Rattrapante', 'Screw Down Crown', 'Small Second', 'Minute', 'Hour']",,Like New
